Total,,,,"3 746,7",275 574,"73,55",Calidaddelagua,Clima estandar,Infraestructura escalar,Cobertura Sanitaria,Empatia con extranjeros,Ornitologia sustentable,Amenidades adecuadas a la generacion Z,Agricultura Local,Nivel de Poliglotismo en Jovenes,Conexión satelital,Population    
Anaa,98711,Tuamotu-Gambier,Tukuhora,"59,0",811,"13,7",5.51,5.59,6.46,1,2.12,3.06,1.28,5.4,4.15,4.45,811
Arue,98712,Windward,Arue,"21,5",10 243,"475,5",4.63,1.55,6.58,5.8,5.11,6.64,4.16,2.62,4.61,1.73,10243
Arutua,98713,Tuamotu-Gambier,Rautini,"49,5",1 664,"33,6",6.44,5.75,5.81,5.71,6.64,2.67,2.55,2.93,1.96,5.02,1664
Bora-Bora,98714,Leeward,Vaitape,"41,6",10 549,"253,9",4.77,6.37,1.97,6.53,4.29,5,6.32,3.91,3.68,4.72,10549
Faaa,98715,Windward,Faaa,"34,3",29 506,"860,2",2.72,3.44,2.84,2.85,6.58,1.48,2.94,6.42,2.86,2.78,29506
Fakarava,98716,Tuamotu-Gambier,Rotoava,"143,6",1 637,"11,4",1.3,4.54,1.76,1.04,5.73,1.19,3.66,1.32,2.93,6.67,1637
Fangatau,98717,Tuamotu-Gambier,Teana,"21,0",296,"14,1",2.17,5.21,6.76,2.7,1.2,3.37,5.77,6.23,3.11,6.28,296
Fatu Hiva,98718,Marquesas,Omo’a,"84,8",612,"7,2",1.44,2.75,2.51,2.83,1.24,4.91,1.9,3.27,3.54,4.7,612
Gambier Islands,98719,Tuamotu-Gambier,Rikitea,"61,6",1 535,"24,9",4.68,6.49,4.68,3.98,2.1,6.08,1.07,5.06,4.33,2.25,1535
Hao,98720,Tuamotu-Gambier,Otepa,"97,7",1 258,"12,9",6.73,4.56,5.65,2.87,5.94,3.14,2.36,4.13,1.46,5.67,1258
Hikueru,98721,Tuamotu-Gambier,Tupapati,"29,3",275,"9,4",6.02,3.08,2.5,3.4,6.33,5.21,1.11,3.46,1.98,3.64,275
Hitiaa O Te Ra,98722,Windward,Hitiaa,"219,0",8 924,"40,7",1.27,4.4,6.29,3.34,1.44,6.19,5.58,6.29,2.05,4.42,8924
Hiva-Oa,98723,Marquesas,Atuona,"324,6",2 243,"6,9",1.37,1.62,4.34,4.43,5.17,6.2,4.9,6.77,3.61,4.94,2243
Huahine,98724,Leeward,Fare,"80,0",6 075,"75,9",3.69,4.03,3.79,2.65,3.44,5.82,3.55,5.49,6.68,3.83,6075
Mahina,98725,Windward,Orofara,"51,8",15 872,"306,4",5.05,5.5,4.05,5.39,5.38,5.07,6.08,5.73,3.63,5.97,15872
Makemo,98726,Tuamotu-Gambier,Pouheva,"120,5",1 508,"12,5",3.37,2.44,5.61,6.46,4.45,1.92,5.61,5.01,4.01,1.78,1508
Manihi,98727,Tuamotu-Gambier,Paeua,"31,7",1 141,"36,0",5.8,1.3,6.64,6.61,3.38,3.97,3.16,2.88,5.22,1.29,1141
